pool: 645 cards
 0.99 · 9% of decks | Waterlogged Grove  | Land | {T}, Pay 1 life: Add {G} or {U}. {1}, {T}, Sacrifice this land: Draw a card.
 0.99 GEM · not on EDHREC page | Nurturing Peatland  | Land | {T}, Pay 1 life: Add {B} or {G}. {1}, {T}, Sacrifice this land: Draw a card.
 0.98 · 41% of decks | Evolving Wilds  | Land | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
 0.98 · 34% of decks | Terramorphic Expanse  | Land | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
 0.98 · 17% of decks | Myriad Landscape  | Land | This land enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for up to two basic land cards that share a land type, put the…
 0.98 · 29% of decks | Fabled Passage  | Land | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more la…
 0.98 · 39% of decks | Verdant Catacombs  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle.
 0.98 GEM · not on EDHREC page | Marsh Flats  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle.
 0.98 GEM · not on EDHREC page | Prismatic Vista  | Land | {T}, Pay 1 life, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield, then shuffle.
 0.98 GEM · not on EDHREC page | Blighted Woodland  | Land | {T}: Add {C}. {3}{G}, {T}, Sacrifice this land: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
 0.98 · 7% of decks | Wasteland  | Land | {T}: Add {C}. {T}, Sacrifice this land: Destroy target nonbasic land.
 0.98 GEM · not on EDHREC page | Scene of the Crime  | Artifact Land — Clue | This land enters tapped. {T}: Add {C}. {T}, Tap an untapped creature you control: Add one mana of any color. {2}, Sacrifice this land:…
 0.98 GEM · not on EDHREC page | Memorial to Folly  | Land | This land enters tapped. {T}: Add {B}. {2}{B}, {T}, Sacrifice this land: Return target creature card from your graveyard to your hand.
 0.98 GEM · not on EDHREC page | Mudflat Village  | Land | {T}: Add {C}. {T}: Add {B}. Spend this mana only to cast a creature spell. {1}{B}, {T}, Sacrifice this land: Return target Bat, Lizard, Rat, or Squirrel …
 0.98 GEM · not on EDHREC page | Mountain Valley  | Land | This land enters tapped. {T}, Sacrifice this land: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle.
 0.98 GEM · not on EDHREC page | Grasslands  | Land | This land enters tapped. {T}, Sacrifice this land: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle.
 0.98 GEM · not on EDHREC page | Waterfront District  | Land | This land enters tapped. {T}: Add {U} or {B}. {2}{U}{B}, {T}, Sacrifice this land: Draw a card.
 0.98 GEM · not on EDHREC page | The Hunter Maze  | Land — Sphere | This land enters tapped. {T}: Add {G}. {1}{G}, {T}, Sacrifice this land: Draw a card.
 0.98 GEM · not on EDHREC page | Littjara Mirrorlake  | Land | This land enters tapped. {T}: Add {U}. {2}{G}{G}{U}, {T}, Sacrifice this land: Create a token that's a copy of target creature you control, except it…
 0.98 GEM · not on EDHREC page | Meditation Pools  | Land | This land enters tapped. {T}: Add {G} or {U}. {4}, {T}, Sacrifice this land: Draw a card.
 0.98 GEM · not on EDHREC page | The Dross Pits  | Land — Sphere | This land enters tapped. {T}: Add {B}. {1}{B}, {T}, Sacrifice this land: Draw a card.
 0.98 GEM · not on EDHREC page | Hobbit Hole  | Land | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Halflingcycling {4} ({4}, Discard this…
 0.98 GEM · not on EDHREC page | Serpent's Pass  | Land | This land enters tapped. {T}: Add {U} or {B}. {4}, {T}, Sacrifice this land: Draw a card.
 0.98 GEM · not on EDHREC page | Foggy Bottom Swamp  | Land | This land enters tapped. {T}: Add {B} or {G}. {4}, {T}, Sacrifice this land: Draw a card.
 0.98 GEM · not on EDHREC page | Cradle of the Accursed  | Land — Desert | {T}: Add {C}. {3}, {T}, Sacrifice this land: Create a 2/2 black Zombie creature token. Activate only as a sorcery.
 0.98 GEM · not on EDHREC page | The Surgical Bay  | Land — Sphere | This land enters tapped. {T}: Add {U}. {1}{U}, {T}, Sacrifice this land: Draw a card.
 0.98 GEM · not on EDHREC page | Memorial to Genius  | Land | This land enters tapped. {T}: Add {U}. {4}{U}, {T}, Sacrifice this land: Draw two cards.
 0.98 GEM · not on EDHREC page | Foundry of the Consuls  | Land | {T}: Add {C}. {5}, {T}, Sacrifice this land: Create two 1/1 colorless Thopter artifact creature tokens with flying.
 0.98 GEM · not on EDHREC page | Gargoyle Castle  | Land | {T}: Add {C}. {5}, {T}, Sacrifice this land: Create a 3/4 colorless Gargoyle artifact creature token with flying.
