pool: 2850 cards
 0.96 · 8% of decks | Executioner's Capsule {B} | Artifact | {1}{B}, {T}, Sacrifice this artifact: Destroy target nonblack creature.
 0.96 GEM · not on EDHREC page | Elf Replica {3} | Artifact Creature — Elf 2/2 | {1}{G}, Sacrifice this creature: Destroy target enchantment.
 0.95 GEM · not on EDHREC page | Engineered Explosives {X} | Artifact | Sunburst (This artifact enters with a charge counter on it for each color of mana spent to cast it.) {2}, Sacrifice this artifact:…
 0.95 GEM · not on EDHREC page | Giant's Boulder {1} | Artifact | When this artifact enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on…
 0.95 GEM · not on EDHREC page | Sylvok Replica {3} | Artifact Creature — Shaman 1/3 | {G}, Sacrifice this creature: Destroy target artifact or enchantment.
 0.94 GEM · not on EDHREC page | Meteor Golem {7} | Artifact Creature — Golem 3/3 | When this creature enters, destroy target nonland permanent an opponent controls.
 0.94 GEM · not on EDHREC page | Lunatic Pandora {1} | Legendary Artifact | {2}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {6}, {T}, Sacrifice Lunatic P…
 0.94 GEM · not on EDHREC page | Urn of Godfire {1} | Artifact | {2}: Add one mana of any color. {6}, {T}, Sacrifice this artifact: Destroy target creature or enchantment.
 0.92 GEM · not on EDHREC page | Unstable Obelisk {3} | Artifact | {T}: Add {C}. {7}, {T}, Sacrifice this artifact: Destroy target permanent.
 0.92 GEM · not on EDHREC page | Dalek Drone {3}{B}{B} | Artifact Creature — Dalek 3/3 | Flying, menace Exterminate! — When this creature enters, destroy target creature an opponent controls. That playe…
 0.92 GEM · not on EDHREC page | Meteor Sword {7} | Artifact — Equipment | When this Equipment enters, destroy target permanent. Equipped creature gets +3/+3. Equip {3} ({3}: Attach to target creature y…
 0.92 GEM · not on EDHREC page | Bumbleflower's Sharepot {2} | Artifact | When this artifact enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") {5}, …
 0.92 GEM · not on EDHREC page | Chrome Prowler {2}{U} | Artifact Creature — Phyrexian Cat 3/2 | Flash When this creature enters, tap target creature an opponent controls.
 0.92 GEM · not on EDHREC page | Pit Trap {2} | Artifact | {2}, {T}, Sacrifice this artifact: Destroy target attacking creature without flying. It can't be regenerated.
 0.91 · 42% of decks | Haywire Mite {1} | Artifact Creature — Insect 1/1 | When this creature dies, you gain 2 life. {G}, Sacrifice this creature: Exile target noncreature artifact or noncreat…
 0.91 GEM · not on EDHREC page | Oblivion Stone {3} | Artifact | {4}, {T}: Put a fate counter on target permanent. {5}, {T}, Sacrifice this artifact: Destroy each nonland permanent without a fate counte…
 0.91 GEM · not on EDHREC page | Universal Solvent {1} | Artifact | {7}, {T}, Sacrifice this artifact: Destroy target permanent.
 0.91 GEM · not on EDHREC page | Thundering Broodwagon {2}{B}{B}{G}{G} | Artifact — Vehicle 6/5 | Reach, menace When this Vehicle enters, destroy target nonland permanent an opponent controls with mana …
 0.90 · 18% of decks | Aether Spellbomb {1} | Artifact | {U}, Sacrifice this artifact: Return target creature to its owner's hand. {1}, Sacrifice this artifact: Draw a card.
 0.90 GEM · not on EDHREC page | Extinguisher Battleship {8} | Artifact — Spacecraft 10/10 | When this Spacecraft enters, destroy target noncreature permanent. Then this Spacecraft deals 4 damage to eac…
 0.90 GEM · not on EDHREC page | Ratchet Bomb {2} | Artifact | {T}: Put a charge counter on this artifact. {T}, Sacrifice this artifact: Destroy each nonland permanent with mana value equal to the numbe…
 0.90 GEM · not on EDHREC page | Anchovy & Banana Pizza {2}{B}{B} | Artifact — Food | When this artifact enters, destroy target creature. {2}, {T}, Sacrifice this artifact: You gain 3 life.
 0.90 GEM · not on EDHREC page | Boom Box {2} | Artifact | {6}, {T}, Sacrifice this artifact: Destroy up to one target artifact, up to one target creature, and up to one target land.
 0.90 GEM · not on EDHREC page | Goblin Firebomb {1} | Artifact | Flash {7}, {T}, Sacrifice this artifact: Destroy target permanent.
 0.90 GEM · not on EDHREC page | Powder Keg {2} | Artifact | At the beginning of your upkeep, you may put a fuse counter on this artifact. {T}, Sacrifice this artifact: Destroy each artifact and creatur…
 0.89 GEM · not on EDHREC page | Cityscape Leveler {8} | Artifact Creature — Construct 8/8 | Trample When you cast this spell and whenever this creature attacks, destroy up to one target nonland permane…
 0.89 GEM · not on EDHREC page | Network Disruptor {U} | Artifact Creature — Moonfolk Rogue 1/1 | Flying When this creature enters, tap target permanent.
 0.89 GEM · not on EDHREC page | Henchbots {4} | Artifact Creature — Robot 2/3 | When this creature enters, exile target tapped creature an opponent controls until this creature leaves the battlefield.
 0.89 GEM · not on EDHREC page | Scrap Compactor {1} | Artifact | {3}, {T}, Sacrifice this artifact: It deals 3 damage to target creature. {6}, {T}, Sacrifice this artifact: Destroy target creature or V…
 0.89 GEM · not on EDHREC page | Sandstone Deadfall {3} | Artifact | {T}, Sacrifice two lands and this artifact: Destroy target attacking creature.
 0.88 GEM · not on EDHREC page | Invasion of Ravnica // Guildpact Paragon {5} | Battle — Siege // Artifact Creature — Construct | [Invasion of Ravnica] {5} — Battle — Siege (As a Siege enters, choose an…
 0.88 GEM · not on EDHREC page | Specimen Freighter {5}{U} | Artifact — Spacecraft 4/7 | When this Spacecraft enters, return up to two target non-Spacecraft creatures to their owners' hands. Station (Ta…
 0.88 GEM · not on EDHREC page | Thaumaton Torpedo {1} | Artifact | {6}, {T}, Sacrifice this artifact: Destroy target nonland permanent. This ability costs {3} less to activate if you attacked with a Sp…
 0.88 GEM · not on EDHREC page | Plague Boiler {3} | Artifact | At the beginning of your upkeep, put a plague counter on this artifact. {1}{B}{G}: Put a plague counter on this artifact or remove a plagu…
 0.87 GEM · not on EDHREC page | Spine of Ish Sah {7} | Artifact | When this artifact enters, destroy target permanent. When this artifact is put into a graveyard from the battlefield, return it to its …
 0.87 GEM · not on EDHREC page | Neurok Replica {3} | Artifact Creature — Wizard 1/4 | {1}{U}, Sacrifice this creature: Return target creature to its owner's hand.
 0.87 GEM · not on EDHREC page | Amulet of Unmaking {5} | Artifact | {5}, {T}, Exile this artifact: Exile target artifact, creature, or land. Activate only as a sorcery.
 0.86 GEM · not on EDHREC page | Demonic Junker {6}{B} | Artifact — Vehicle 4/3 | Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.) When this Vehicle enters, for …
 0.86 GEM · not on EDHREC page | Voyager Staff {1} | Artifact | {2}, Sacrifice this artifact: Exile target creature. Return the exiled card to the battlefield under its owner's control at the beginning …
 0.85 GEM · not on EDHREC page | Canoptek Tomb Sentinel {4} | Artifact Creature — Insect 4/3 | Vigilance Exile Cannon — When this creature enters from a graveyard, exile up to one target nonland permane…
 0.85 GEM · not on EDHREC page | Surgical Skullbomb {1} | Artifact | {1}, Sacrifice this artifact: Draw a card. {2}{U}, Sacrifice this artifact: Return target creature to its owner's hand. Draw a card. …
 0.85 GEM · not on EDHREC page | Grim Bauble {B} | Artifact | When this artifact enters, target creature an opponent controls gets -2/-2 until end of turn. {2}{B}, {T}, Sacrifice this artifact: Surveil …
 0.85 GEM · not on EDHREC page | Alchemax Slayer-Bots {2}{U} | Artifact Creature — Robot Villain 2/2 | When this creature enters, tap target creature an opponent controls and put a stun counter on it. (…
 0.85 GEM · not on EDHREC page | Bloodtallow Candle {1} | Artifact | {6}, {T}, Sacrifice this artifact: Target creature gets -5/-5 until end of turn.
 0.83 GEM · not on EDHREC page | Phantom Blade {4}{B} | Artifact — Equipment | When this Equipment enters, attach it to up to one target creature you control. Destroy up to one other target creature. Eq…
 0.82 GEM · not on EDHREC page | Skateboard {1} | Artifact — Equipment | When this Equipment enters, tap target permanent. Equipped creature gets +1/+0 and has haste. Equip {1} ({1}: Attach to target cr…
 0.82 GEM · not on EDHREC page | Mechanozoa {4}{U}{U} | Artifact Creature — Robot Jellyfish 5/5 | When this creature enters, tap target artifact or creature an opponent controls and put a stun counter o…
 0.82 GEM · not on EDHREC page | Repulsor Bots {4}{U}{U} | Artifact Creature — Robot Hero 4/4 | Flying (This creature can't be blocked except by creatures with flying or reach.) When this creature enter…
 0.82 GEM · not on EDHREC page | Rustspore Ram {4} | Artifact Creature — Sheep 1/3 | When this creature enters, destroy target Equipment.
 0.81 GEM · not on EDHREC page | Noxious Gearhulk {4}{B}{B} | Artifact Creature — Construct 5/4 | Menace When this creature enters, you may destroy another target creature. If a creature is destroyed th…
 0.81 GEM · not on EDHREC page | Necron Deathmark {3}{B}{B} | Artifact Creature — Necron 5/3 | Flash Synaptic Disintegrator — When this creature enters, destroy up to one target creature and target play…
 0.81 GEM · not on EDHREC page | Dubious Delicacy {2}{B} | Artifact — Food | Flash When this artifact enters, up to one target creature gets -3/-3 until end of turn. {2}, {T}, Sacrifice this artifact: Y…
 0.81 GEM · not on EDHREC page | Ark of Blight {2} | Artifact | {3}, {T}, Sacrifice this artifact: Destroy target land.
 0.80 GEM · not on EDHREC page | High-Speed Hoverbike {2} | Artifact — Vehicle 2/2 | Flash Flying When this Vehicle enters, tap up to one target creature. Crew 1 (Tap any number of creatures you control…
 0.80 GEM · not on EDHREC page | Aligned Hedron Network {4} | Artifact | When this artifact enters, exile all creatures with power 5 or greater until this artifact leaves the battlefield. (Those creatur…
 0.80 GEM · not on EDHREC page | Gilded Scuttler {2}{U} | Artifact Creature — Crab 1/3 | This creature can't be blocked. When this creature enters, tap target creature an opponent controls and put a stu…
 0.80 GEM · not on EDHREC page | Spikeshell Harrier {4}{U} | Artifact Creature — Robot Turtle 4/4 | When this creature enters, return target creature or Vehicle an opponent controls to its owner's hand.…
 0.80 GEM · not on EDHREC page | Collector's Case {1}{U} | Artifact | When this artifact enters, tap up to one target creature and put two stun counters on it. (If a permanent with a stun counter would …
 0.79 GEM · not on EDHREC page | The Filigree Sylex {2} | Legendary Artifact | {T}: Put an oil counter on The Filigree Sylex. {T}, Sacrifice The Filigree Sylex: Destroy each nonland permanent with mana …
 0.78 GEM · not on EDHREC page | Possession Engine {3}{U}{U} | Artifact — Vehicle 5/5 | When this Vehicle enters, gain control of target creature an opponent controls for as long as you control this Veh…
 0.78 GEM · not on EDHREC page | Three Bowls of Porridge {2} | Artifact — Food | {2}, {T}: Choose one that hasn't been chosen — • This artifact deals 2 damage to target creature. • Tap target creature. …
 0.78 GEM · not on EDHREC page | Eye of Doom {4} | Artifact | When this artifact enters, each player chooses a nonland permanent and puts a doom counter on it. {2}, {T}, Sacrifice this artifact: Destroy…
 0.77 GEM · not on EDHREC page | Karn's Sylex {3} | Legendary Artifact | Karn's Sylex enters tapped. Players can't pay life to cast spells or to activate abilities that aren't mana abilities. {X}, {T}, …
 0.77 GEM · not on EDHREC page | Aetherjacket {3} | Artifact Creature — Thopter 2/1 | Flying, vigilance {2}, {T}, Sacrifice this creature: Destroy another target artifact. Activate only as a sorcery.
 0.76 GEM · not on EDHREC page | Assassin Gauntlet {2}{U} | Artifact — Equipment | When this Equipment enters, attach it to up to one target creature you control. Tap all creatures target opponent contr…
 0.76 GEM · not on EDHREC page | The Fire Nation Drill {2}{B}{B} | Legendary Artifact — Vehicle 6/3 | Trample When The Fire Nation Drill enters, you may tap it. When you do, destroy target creature with…
 0.76 GEM · not on EDHREC page | Omega, Heartless Evolution {5}{G}{U} | Legendary Artifact Creature — Robot 8/8 | Wave Cannon — When Omega enters, for each opponent, tap up to one target nonland permane…
 0.76 GEM · not on EDHREC page | Infused Arrows {4} | Artifact | Sunburst (This artifact enters with a charge counter on it for each color of mana spent to cast it.) {T}, Remove X charge counters from t…
 0.75 GEM · not on EDHREC page | Argentum Masticore {5} | Artifact Creature — Phyrexian Masticore 5/5 | First strike, protection from multicolored At the beginning of your upkeep, sacrifice this creatur…
 0.75 GEM · not on EDHREC page | Mysterious Tome // Chilling Chronicle {2}{U} | Artifact — Book // Artifact — Book | [Mysterious Tome] {2}{U} — Artifact — Book {2}, {T}: Draw a card. Transform this arti…
 0.74 · not on EDHREC page | The Moment {2} | Legendary Artifact | At the beginning of your upkeep, put a time counter on The Moment. {2}, {T}: Untap target creature you control. It phases out until…
 0.74 · not on EDHREC page | Arena of the Ancients {3} | Artifact | Legendary creatures don't untap during their controllers' untap steps. When this artifact enters, tap all legendary creatures.
 0.72 · not on EDHREC page | Cryogen Relic {1}{U} | Artifact | When this artifact enters or leaves the battlefield, draw a card. {1}{U}, Sacrifice this artifact: Put a stun counter on up to one targ…
 0.72 · not on EDHREC page | Cogwork Wrestler {U} | Artifact Creature — Gnome 1/2 | Flash When this creature enters, target creature an opponent controls gets -2/-0 until end of turn.
 0.72 · not on EDHREC page | Utrom Scientists {2}{U} | Artifact Creature — Utrom Robot Scientist 2/2 | When this creature enters, tap up to one target creature and put a stun counter on it. (If a pe…
 0.70 · not on EDHREC page | Bounce Chamber  | Artifact — Attraction | Visit — Return a creature you don't control with the lowest toughness among creatures you don't control to its owner's hand. (I…
 0.69 · not on EDHREC page | Hylda's Crown of Winter {3} | Legendary Artifact | {1}, {T}: Tap target creature. This ability costs {1} less to activate during your turn. {3}, Sacrifice Hylda's Crown …
 0.68 · not on EDHREC page | Perilous Vault {4} | Artifact | {5}, {T}, Exile this artifact: Exile all nonland permanents.
 0.68 · not on EDHREC page | Tamiyo's Immobilizer {3}{U} | Artifact | This artifact enters with four oil counters on it. {T}, Remove an oil counter from this artifact: Tap target artifact or creatur…
 0.67 · not on EDHREC page | Lodestone Needle // Guidestone Compass {1}{U} | Artifact // Artifact | [Lodestone Needle] {1}{U} — Artifact Flash When this artifact enters, tap up to one target artifac…
provider=jev requests=24 cached=0 input_tokens=628010 (~$0.026)
