pool: 1802 cards
 0.97 · 48% of decks | Seal of Primordium {1}{G} | Enchantment | Sacrifice this enchantment: Destroy target artifact or enchantment.
 0.97 · 13% of decks | Seal of Doom {2}{B} | Enchantment | Sacrifice this enchantment: Destroy target nonblack creature. It can't be regenerated.
 0.95 GEM · not on EDHREC page | Sinister Concoction {B} | Enchantment | {B}, Pay 1 life, Mill a card, Discard a card, Sacrifice this enchantment: Destroy target creature.
 0.95 GEM · not on EDHREC page | Vile Requiem {2}{B}{B} | Enchantment | At the beginning of your upkeep, you may put a verse counter on this enchantment. {1}{B}, Sacrifice this enchantment: Destroy up t…
 0.94 · 38% of decks | Pernicious Deed {1}{B}{G} | Enchantment | {X}, Sacrifice this enchantment: Destroy each artifact, creature, and enchantment with mana value X or less.
 0.94 GEM · not on EDHREC page | Underhanded Designs {1}{B} | Enchantment | Whenever an artifact you control enters, you may pay {1}. If you do, each opponent loses 1 life and you gain 1 life. {1}{B}, S…
 0.89 · 32% of decks | Seal of Removal {U} | Enchantment | Sacrifice this enchantment: Return target creature to its owner's hand.
 0.89 GEM · not on EDHREC page | Twisted Embrace {2}{B}{B} | Enchantment — Aura | Enchant artifact or creature you control When this Aura enters, destroy target creature or planeswalker an opponent cont…
 0.89 GEM · not on EDHREC page | Recantation {3}{U}{U} | Enchantment | At the beginning of your upkeep, you may put a verse counter on this enchantment. {U}, Sacrifice this enchantment: Return up to X t…
 0.88 GEM · not on EDHREC page | Time of Ice {3}{U} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I, II — Tap target creature an opponen…
 0.88 GEM · not on EDHREC page | Icy Prison {U}{U} | Enchantment | When this enchantment enters, exile target creature. At the beginning of your upkeep, sacrifice this enchantment unless any player pays…
 0.87 GEM · not on EDHREC page | Invasion of Innistrad // Deluge of the Dead {2}{B}{B} | Battle — Siege // Enchantment | [Invasion of Innistrad] {2}{B}{B} — Battle — Siege (As a Siege enters, choose an …
 0.86 GEM · not on EDHREC page | Grave Peril {1}{B} | Enchantment | When a nonblack creature enters, sacrifice this enchantment. If you do, destroy that creature.
 0.85 GEM · not on EDHREC page | Dramatic Accusation {2}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller'…
 0.85 GEM · not on EDHREC page | Encase in Ice {1}{U} | Enchantment — Aura | Flash (You may cast this spell any time you could cast an instant.) Enchant red or green creature When this Aura enters, tap …
 0.84 · 11% of decks | Binding the Old Gods {2}{B}{G} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Destroy target nonland…
 0.84 GEM · not on EDHREC page | Lost in the Maze {X}{U}{U} | Enchantment | Flash When this enchantment enters, tap X target creatures. Put a stun counter on each of those creatures you don't control. (…
 0.84 GEM · not on EDHREC page | Frozen in Ice {2}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature loses all abilities and can't become untap…
 0.84 GEM · not on EDHREC page | Stop Cold {3}{U} | Enchantment — Aura | Flash Enchant artifact or creature When this Aura enters, tap enchanted permanent. Enchanted permanent loses all abilities and do…
 0.83 GEM · not on EDHREC page | Secret Invasion {1}{U}{U} | Enchantment — Aura | Enchant creature you control When this Aura enters, exile up to one target creature other than enchanted creature until …
 0.82 GEM · not on EDHREC page | One Ring to Rule Them All {2}{B}{B} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — The Ring tempts y…
 0.82 GEM · not on EDHREC page | Elspeth's Nightmare {2}{B} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Destroy target creature an…
 0.82 GEM · not on EDHREC page | Bitter Chill {1}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap…
 0.82 GEM · not on EDHREC page | Tamiyo's Compleation {3}{U} | Enchantment — Aura | Flash Enchant artifact, creature, or planeswalker When this Aura enters, tap enchanted permanent. If it's an Equipment…
 0.82 GEM · not on EDHREC page | Legacy's Allure {U}{U} | Enchantment | At the beginning of your upkeep, you may put a treasure counter on this enchantment. Sacrifice this enchantment: Gain control of t…
 0.82 GEM · not on EDHREC page | Deadly Designs {1}{B} | Enchantment | {2}: Put a plot counter on this enchantment. Any player may activate this ability. When there are five or more plot counters on thi…
 0.81 GEM · not on EDHREC page | Enchanted River's Grasp {2}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature and remove all counters from it. Enchanted creature …
 0.81 GEM · not on EDHREC page | Tractor Beam {2}{U}{U} | Enchantment — Aura | Enchant creature or Spacecraft When this Aura enters, tap enchanted permanent. You control enchanted permanent. Enchanted p…
 0.81 GEM · not on EDHREC page | Waterknot {1}{U}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap…
 0.80 GEM · not on EDHREC page | Scroll of Isildur {2}{U} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Gain control of up to one ta…
 0.80 GEM · not on EDHREC page | The Death of Gwen Stacy {2}{B} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Destroy target creatur…
 0.80 GEM · not on EDHREC page | Sleep Paralysis {3}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's un…
 0.80 GEM · not on EDHREC page | Singing Bell Strike {1}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller'…
 0.80 GEM · not on EDHREC page | Castaway's Despair {3}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's…
 0.80 GEM · not on EDHREC page | Containment Protocol {2}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller…
 0.79 · 17% of decks | Awaken the Honored Dead {B}{G}{U} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Destroy target nonl…
 0.79 GEM · not on EDHREC page | Cacophony Unleashed {5}{B}{B} | Enchantment | When this enchantment enters, if you cast it, destroy all nonenchantment creatures. Whenever this enchantment or another en…
 0.79 GEM · not on EDHREC page | Honest Work {U} | Enchantment — Aura | Enchant creature an opponent controls When this Aura enters, tap enchanted creature and remove all counters from it. Enchanted cre…
 0.79 GEM · not on EDHREC page | The Coming of Galactus {2}{B}{B}{G} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.) I — Destroy up to one …
 0.79 GEM · not on EDHREC page | The Last Ronin {4}{B}{G} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Destroy all creatures. II — …
 0.79 GEM · not on EDHREC page | Claustrophobia {1}{U}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's …
 0.78 GEM · not on EDHREC page | Soul Enervation {3}{B} | Enchantment | Flash When this enchantment enters, target creature gets -4/-4 until end of turn. Whenever one or more creature cards leave your g…
 0.78 GEM · not on EDHREC page | Capture Sphere {3}{U} | Enchantment — Aura | Flash (You may cast this spell any time you could cast an instant.) Enchant creature When this Aura enters, tap enchanted cr…
 0.78 GEM · not on EDHREC page | Stunning Strike {2}{U} | Enchantment — Aura | Flash Enchant creature When this Aura enters, tap enchanted creature and remove it from combat. As long as enchanted creatu…
 0.78 GEM · not on EDHREC page | Runner's Bane {1}{U} | Enchantment — Aura | Enchant creature with power 3 or less When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during …
 0.78 GEM · not on EDHREC page | Mystic Restraints {2}{U}{U} | Enchantment — Aura | Flash Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its cont…
 0.77 GEM · not on EDHREC page | Nowhere to Run {1}{B} | Enchantment | Flash When this enchantment enters, target creature an opponent controls gets -3/-3 until end of turn. Creatures your opponents con…
 0.77 GEM · not on EDHREC page | Kitnap {2}{U}{U} | Enchantment — Aura | Gift a card (You may promise an opponent a gift as you cast this spell. If you do, when it enters, they draw a card.) Enchant cre…
 0.77 GEM · not on EDHREC page | Charmed Sleep {1}{U}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's u…
 0.77 GEM · not on EDHREC page | Malfunction {3}{U} | Enchantment — Aura | Enchant artifact or creature When this Aura enters, tap enchanted permanent. Enchanted permanent doesn't untap during its contr…
 0.76 GEM · not on EDHREC page | Extraordinary Journey {X}{X}{U}{U} | Enchantment | When this enchantment enters, exile up to X target creatures. For each of those cards, its owner may play it for as lo…
 0.76 GEM · not on EDHREC page | Stuck in Summoner's Sanctum {2}{U} | Enchantment — Aura | Flash Enchant artifact or creature When this Aura enters, tap enchanted permanent. Enchanted permanent doesn't …
 0.76 GEM · not on EDHREC page | Sleep Magic {U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap ste…
 0.76 GEM · not on EDHREC page | Starlight Snare {2}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's un…
 0.76 GEM · not on EDHREC page | Bind the Monster {U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. It deals damage to you equal to its power. Enchanted creature…
 0.75 GEM · not on EDHREC page | Kiora Bests the Sea God {5}{U}{U} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Create an 8/8 blue …
 0.75 GEM · not on EDHREC page | Sporogenic Infection {1}{B} | Enchantment — Aura | Enchant creature When this Aura enters, target player sacrifices a creature of their choice other than enchanted creat…
 0.75 GEM · not on EDHREC page | Fall from Favor {2}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature and you become the monarch. Enchanted creature doesn't untap…
 0.75 GEM · not on EDHREC page | Sleep with the Fishes {2}{U}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature and you create a 1/1 blue Fish creature token with …
 0.75 GEM · not on EDHREC page | Paralyze {B} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step. …
 0.75 GEM · not on EDHREC page | Hold for Questioning {3}{U} | Enchantment — Aura | Enchant creature or planeswalker When this Aura enters, tap enchanted permanent and investigate. (Create a Clue token.…
 0.75 GEM · not on EDHREC page | Motion Sickness {3}{U} | Enchantment — Aura | Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's un…
 0.75 GEM · not on EDHREC page | Parallax Dementia {1}{B} | Enchantment — Aura | Enchant creature Fading 1 (This enchantment enters with one fade counter on it. At the beginning of your upkeep, remove a…
