 3.90 c0.91 · 8% of decks | Executioner's Capsule {B} | Artifact | {1}{B}, {T}, Sacrifice this artifact: Destroy target nonblack creature.
 3.86 c0.88 · 48% of decks | Seal of Primordium {1}{G} | Enchantment | Sacrifice this enchantment: Destroy target artifact or enchantment.
 3.86 c0.89 · 13% of decks | Seal of Doom {2}{B} | Enchantment | Sacrifice this enchantment: Destroy target nonblack creature. It can't be regenerated.
 3.81 c0.84 GEM · not on EDHREC page | Muldrotha, the Gravetide {3}{B}{G}{U} | Legendary Creature — Elemental Avatar 6/6 | During each of your turns, you may play a lan…
 3.78 c0.81 GEM · not on EDHREC page | Disciple of the Vault {B} | Creature — Human Cleric 1/1 | Whenever an artifact is put into a graveyard from the battlefield, you …
 3.76 c0.80 GEM · not on EDHREC page | Chromatic Star {1} | Artifact | {1}, {T}, Sacrifice this artifact: Add one mana of any color. When this artifact is put into a gr…
 3.72 c0.77 GEM · not on EDHREC page | Chromatic Sphere {1} | Artifact | {1}, {T}, Sacrifice this artifact: Add one mana of any color. Draw a card. (Activate only as an…
 3.69 c0.74 · 18% of decks | Aether Spellbomb {1} | Artifact | {U}, Sacrifice this artifact: Return target creature to its owner's hand. {1}, Sacrifice this a…
 3.62 c0.69 GEM · not on EDHREC page | Cryogen Relic {1}{U} | Artifact | When this artifact enters or leaves the battlefield, draw a card. {1}{U}, Sacrifice this artifa…
 3.60 c0.67 · 41% of decks | Stitcher's Supplier {B} | Creature — Zombie 1/1 | When this creature enters or dies, mill three cards. (Put the top three cards o…
 3.54 c0.62 · 20% of decks | Commander's Sphere {3} | Artifact | {T}: Add one mana of any color in your commander's color identity. Sacrifice this artifact: D…
 3.49 c0.57 · 32% of decks | Seal of Removal {U} | Enchantment | Sacrifice this enchantment: Return target creature to its owner's hand.
 3.38 c0.48 · 41% of decks | Secrets of the Dead {2}{U} | Enchantment | Whenever you cast a spell from your graveyard, draw a card.
 3.35 c0.65 GEM · not on EDHREC page | Vraska, Golgari Queen {2}{B}{G} | Legendary Planeswalker — Vraska [4] | +2: You may sacrifice another permanent. If you do, you g…
